project,path,size_bytes,sha256,extension,category
web-main,projects/web-main/backend/services/__init__.py,48,a915180d1b91207ef4524b365aaf0c3d17b1bdffcfe35615eb550ce5c62d09b4,.py,source
web-main,projects/web-main/backend/services/account_service.py,14462,344a21d2fcac459de36395712a4df76eed8ccfc8fa750baf66875dd5193f417d,.py,source
web-main,projects/web-main/backend/services/audit_service.py,1644,51d72aa0e1318d3d1d15c86efb960612ab604d366e5ac4b0bb1c3fe27209d801,.py,source
web-main,projects/web-main/backend/services/backup_service.py,3328,7de4698d6932e366944d90a99e167c5df3f339e261573df5acdd201d139aed23,.py,source
web-main,projects/web-main/backend/services/billing_service.py,13004,30d061bca0e26be492d2091f8c00ff4cd425d7adf6212b1de4cb7a8584d6229e,.py,source
web-main,projects/web-main/backend/services/customer_delivery_service.py,4563,c057d3132f5f748840a1e7b5c9ed3e8b36f7ca4b96345c039af7dc690fa7c097,.py,source
web-main,projects/web-main/backend/services/data_preparation_service.py,34197,c87b9fa801f4ae13845b73c9cbe00a5eaa3366cd65d2252e260fa09c5e6b15e7,.py,source
web-main,projects/web-main/backend/services/data_source_policy.py,4704,afd210b2bd338d8e9064db36ffdf3942b6f8365edcaebb6b6779dd119943db33,.py,source
web-main,projects/web-main/backend/services/invoice_service.py,7796,2e72fed1351ffffede385e738dc94a4b56c340fc8240bc28d4aa5f5436a35dad,.py,source
web-main,projects/web-main/backend/services/lab_demo_service.py,16110,8042f0909e4a0ca8042f0c8ce073da783509e11e8116485a4510131857cc3e1a,.py,source
web-main,projects/web-main/backend/services/lab_edf_reviewer_service.py,8324,95d3835f5d9d1a885aca885536e9d230559e1734360015a9d5f22b5687bf703b,.py,source
web-main,projects/web-main/backend/services/metadata_service.py,505,7b93b6d848138dae82384aac91ae49cb86bf98c4c24f3acda207f76e899ae2d1,.py,source
web-main,projects/web-main/backend/services/module_contract_service.py,6022,d70907cebb76b2b1e56bb48ab93387306ec73009b8b4ae37e40ffe2a83c32085,.py,source
