feature_id,module_id,project,layer,state,source_path,source_symbol,evidence,notes
api-route:projects/web-main/backend/api/epilepsy_workbench.py:413:get_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,get_review_session,ROUTER.GET /epilepsy-review-sessions/{session_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:421:patch_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,patch_review_session,ROUTER.PATCH /epilepsy-review-sessions/{session_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:445:waveform_pyramid_manifest,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,waveform_pyramid_manifest,ROUTER.GET /eeg/files/{file_id}/waveform-pyramid/manifest,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:480:build_waveform_pyramid,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,build_waveform_pyramid,ROUTER.POST /eeg/files/{file_id}/waveform-pyramid/build,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:493:waveform_window,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,waveform_window,ROUTER.GET /eeg/files/{file_id}/waveform-window,AST-discovered route/registration
api-route:projects/web-main/backend/api/epilepsy_workbench.py:937:export_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/epilepsy_workbench.py,export_review_session,ROUTER.POST /epilepsy-review-sessions/{session_id}/exports,AST-discovered route/registration
api-route:projects/web-main/backend/api/health.py:16:get_health,platform.api-other,web-main,api,implemented-or-supporting,projects/web-main/backend/api/health.py,get_health,ROUTER.GET /health,AST-discovered route/registration
api-route:projects/web-main/backend/api/health.py:28:get_readiness,platform.api-other,web-main,api,implemented-or-supporting,projects/web-main/backend/api/health.py,get_readiness,ROUTER.GET /health/readiness,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:105:run_demo_module,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,run_demo_module,ROUTER.POST /lab/demo/run/{module},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:114:run_configured_demo_module,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,run_configured_demo_module,ROUTER.POST /lab/demo/run/{module}/configured,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:125:run_all_demo_modules,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,run_all_demo_modules,ROUTER.POST /lab/demo/run-all,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:136:list_demo_artifacts,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,list_demo_artifacts,ROUTER.GET /lab/demo/artifacts/{task_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:154:download_demo_artifact,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,download_demo_artifact,ROUTER.GET /lab/demo/artifacts/{task_id}/download/{filename:path},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:176:analyze_uploaded_file,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,analyze_uploaded_file,ROUTER.POST /lab/demo/analyze-upload,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:252:get_upload_result,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,get_upload_result,ROUTER.GET /lab/demo/upload-result/{run_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:268:download_upload_result,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,download_upload_result,ROUTER.GET /lab/demo/upload-result/{run_id}/download/{filename:path},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:287:list_sample_files,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,list_sample_files,ROUTER.GET /lab/demo/sample-files,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:310:download_sample_file,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,download_sample_file,ROUTER.GET /lab/demo/sample-files/{filename:path},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:93:get_demo_dataset,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,get_demo_dataset,ROUTER.GET /lab/demo/dataset,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_demo.py:99:get_epilepsy_demo_dataset,lab.demo,web-main,api,lab-or-demo,projects/web-main/backend/api/lab_demo.py,get_epilepsy_demo_dataset,ROUTER.GET /lab/demo/epilepsy,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_edf_reviewer.py:170:get_status,feature.qc,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_edf_reviewer.py,get_status,ROUTER.GET /lab/edf-reviewer/status,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_edf_reviewer.py:45:inspect_edf,feature.qc,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_edf_reviewer.py,inspect_edf,ROUTER.POST /lab/edf-reviewer/inspect,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_edf_reviewer.py:87:render_waveform,feature.qc,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_edf_reviewer.py,render_waveform,ROUTER.POST /lab/edf-reviewer/waveform,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1232:list_he_records,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,list_he_records,ROUTER.GET /lab/epilepsy-full-flow/records,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1245:preflight_he_record,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,preflight_he_record,ROUTER.GET /lab/epilepsy-full-flow/records/{record_id}/preflight,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1260:generate_he_candidates,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,generate_he_candidates,ROUTER.POST /lab/epilepsy-full-flow/records/{record_id}/candidates,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1322:he_waveform_window,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,he_waveform_window,ROUTER.GET /lab/epilepsy-full-flow/records/{record_id}/waveform-window,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1334:save_lab_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,save_lab_review_session,ROUTER.POST /lab/epilepsy-full-flow/review-sessions,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1404:get_lab_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,get_lab_review_session,ROUTER.GET /lab/epilepsy-full-flow/review-sessions/{session_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1412:export_lab_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,export_lab_review_session,ROUTER.POST /lab/epilepsy-full-flow/review-sessions/{session_id}/exports,AST-discovered route/registration
api-route:projects/web-main/backend/api/lab_epilepsy_full_flow.py:1420:report_lab_review_session,feature.epilepsy,web-main,api,implemented-or-supporting,projects/web-main/backend/api/lab_epilepsy_full_flow.py,report_lab_review_session,ROUTER.GET /lab/epilepsy-full-flow/review-sessions/{session_id}/report,AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:39:create_project,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,create_project,ROUTER.POST /projects,AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:48:list_projects,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,list_projects,ROUTER.GET /projects,AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:58:get_project,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,get_project,ROUTER.GET /projects/{project_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:67:update_project,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,update_project,ROUTER.PATCH /projects/{project_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:73:archive_project,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,archive_project,ROUTER.POST /projects/{project_id}/archive,AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:79:delete_project,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,delete_project,ROUTER.DELETE /projects/{project_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/projects.py:85:batch_download_project_task_artifacts,platform.projects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/projects.py,batch_download_project_task_artifacts,ROUTER.POST /projects/{project_id}/tasks/{task_id}/artifacts/batch,AST-discovered route/registration
api-route:projects/web-main/backend/api/reports.py:17:create_report,platform.reports,web-main,api,implemented-or-supporting,projects/web-main/backend/api/reports.py,create_report,ROUTER.POST /reports,AST-discovered route/registration
api-route:projects/web-main/backend/api/reports.py:38:get_report,platform.reports,web-main,api,implemented-or-supporting,projects/web-main/backend/api/reports.py,get_report,ROUTER.GET /reports/{report_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/reports.py:43:download_report_html,platform.reports,web-main,api,implemented-or-supporting,projects/web-main/backend/api/reports.py,download_report_html,ROUTER.GET /reports/{report_id}/html,AST-discovered route/registration
api-route:projects/web-main/backend/api/reports.py:49:download_report_package,platform.reports,web-main,api,implemented-or-supporting,projects/web-main/backend/api/reports.py,download_report_package,ROUTER.GET /reports/{report_id}/package,AST-discovered route/registration
api-route:projects/web-main/backend/api/subjects.py:15:create_subject,platform.subjects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/subjects.py,create_subject,ROUTER.POST /projects/{project_id}/subjects,AST-discovered route/registration
api-route:projects/web-main/backend/api/subjects.py:28:list_subjects,platform.subjects,web-main,api,implemented-or-supporting,projects/web-main/backend/api/subjects.py,list_subjects,ROUTER.GET /projects/{project_id}/subjects,AST-discovered route/registration
api-route:projects/web-main/backend/api/tasks.py:30:create_task,platform.tasks,web-main,api,implemented-or-supporting,projects/web-main/backend/api/tasks.py,create_task,ROUTER.POST /tasks,AST-discovered route/registration
api-route:projects/web-main/backend/api/tasks.py:59:mark_task_result_reviewed,platform.tasks,web-main,api,implemented-or-supporting,projects/web-main/backend/api/tasks.py,mark_task_result_reviewed,ROUTER.POST /tasks/{task_id}/result-review,AST-discovered route/registration
api-route:projects/web-main/backend/api/tasks.py:79:get_task,platform.tasks,web-main,api,implemented-or-supporting,projects/web-main/backend/api/tasks.py,get_task,ROUTER.GET /tasks/{task_id},AST-discovered route/registration
api-route:projects/web-main/backend/api/tasks.py:85:get_task_artifacts,platform.tasks,web-main,api,implemented-or-supporting,projects/web-main/backend/api/tasks.py,get_task_artifacts,ROUTER.GET /tasks/{task_id}/artifacts,AST-discovered route/registration
api-route:projects/web-main/backend/api/tasks.py:93:batch_download_task_artifacts,platform.tasks,web-main,api,implemented-or-supporting,projects/web-main/backend/api/tasks.py,batch_download_task_artifacts,ROUTER.POST /tasks/{task_id}/artifacts/batch,AST-discovered route/registration
api-route:projects/web-main/backend/api/teaching_data.py:120:register_all_teaching_demos,platform.api-other,web-main,api,implemented-or-supporting,projects/web-main/backend/api/teaching_data.py,register_all_teaching_demos,ROUTER.POST /teaching/register-all,AST-discovered route/registration
api-route:projects/web-main/backend/api/teaching_data.py:137:generate_teaching_demos,platform.api-other,web-main,api,implemented-or-supporting,projects/web-main/backend/api/teaching_data.py,generate_teaching_demos,ROUTER.POST /teaching/generate,AST-discovered route/registration
api-route:projects/web-main/backend/api/teaching_data.py:157:ensure_teaching_project,platform.api-other,web-main,api,implemented-or-supporting,projects/web-main/backend/api/teaching_data.py,ensure_teaching_project,ROUTER.GET /teaching/project,AST-discovered route/registration
